Data;Campeonato;Estadio;Mandante;Visitante;GOLS_H;GOLS_A;Goleiro;Jog1;Jog2;Jog3;Jog4;Jog5;Jog6;Jog7;Jog8;Jog9;Jog10;Jog11;Jog12;Jog13;Jog14;Jog15;Jog16;Jog17;Jog18;Jog19;Jog20;Jog21;Jog22;Jog23;Jog24;LINK
15/04/1917; Amistoso;Grêmio Recreativo dos Emp. da Cia. Paulista; Rio Claro; Palestra Italia;0;2; Flosi; Bianco Gambini; Grimaldi; Picagli; Bertolini; Fabbi; Caetano; Ministro; Heitor; Orlando; Martinelli; Ludovico Bacchiani;;;;;;;;;;;;;;https://www.verdazzo.com.br/jogo/19170415-rio-claro-x-palestra-italia-amistoso-1917/
21/04/1917; Campeonato Paulista;Palestra Italia; Palestra Italia; S.C.Internacional (SP);5;1; Flosi; Bianco Gambini; Grimaldi; Picagli; Bertolini; Fabbi; Caetano; Ministro; Heitor; Orlando; Martinelli; Ludovico Bacchiani;;;;;;;;;;;;;;https://www.verdazzo.com.br/jogo/19170421-palestra-italia-x-s-c-internacional-sp-campeonato-paulista-1917/
29/04/1917; Campeonato Paulista;Palestra Italia; Paulistano; Palestra Italia;2;2; Flosi; Bianco Gambini; Grimaldi; Picagli; Bertolini; Fabbi; Caetano; Ministro; Heitor; Orlando; Martinelli; Ludovico Bacchiani;;;;;;;;;;;;;;https://www.verdazzo.com.br/jogo/19170429-paulistano-x-palestra-italia-campeonato-paulista-1917/
06/05/1917; Campeonato Paulista;Palestra Italia; Palestra Italia; Corinthians;3;0; Flosi; Bianco Gambini; Grimaldi; Picagli; Bertolini; Fabbi; Caetano; Ministro; Heitor; Orlando; Taurisano; Ludovico Bacchiani;;;;;;;;;;;;;;https://www.verdazzo.com.br/jogo/19170506-palestra-italia-x-sccp-campeonato-paulista-1917/
17/05/1917; Campeonato Paulista;Palestra Italia; Palestra Italia; A.A.São Bento;1;1; Flosi; Bianco Gambini; Grimaldi; Picagli; Bertolini; Fabbi; Caetano; Ministro; Heitor; Orlando; Martinelli; Ludovico Bacchiani;;;;;;;;;;;;;;https://www.verdazzo.com.br/jogo/19170517-palestra-italia-x-a-a-sao-bento-campeonato-paulista-1917/
27/05/1917; Campeonato Paulista;Palestra Italia; A.A.das Palmeiras; Palestra Italia;1;0; Flosi; Bianco Gambini; Grimaldi; Picagli; Bertolini; Fabbi; Caetano; Ministro; Heitor; Orlando; Martinelli; Ludovico Bacchiani;;;;;;;;;;;;;;https://www.verdazzo.com.br/jogo/19170527-a-a-das-palmeiras-x-palestra-italia-campeonato-paulista-1917/
30/05/1917; Amistoso;Floresta; Comercial; Palestra Italia;1;1; Flosi; Bianco Gambini; Grimaldi; Picagli; Bertolini; Fabbi; Caetano; Ministro; Heitor; Orlando; Martinelli; Ludovico Bacchiani;;;;;;;;;;;;;;https://www.verdazzo.com.br/jogo/19170530-comercial-x-palestra-italia-amistoso-1917/
10/06/1917; Campeonato Paulista;Palestra Italia; Mackenzie; Palestra Italia;2;3; Flosi; Bianco Gambini; Grimaldi; Picagli; Pedretti; Fabbi; Caetano; Ministro; Heitor; Orlando; Martinelli; Ludovico Bacchiani;;;;;;;;;;;;;;https://www.verdazzo.com.br/jogo/19170610-mackenzie-x-palestra-italia-campeonato-paulista-1917/
17/06/1917; Amistoso;Campo do Bosque; Taubaté; Palestra Italia;0;4; Flosi; Grimaldi; Bianco Gambini; Pedretti; Picagli; Fabbi; Caetano; Ministro; Heitor; Orlando; Martinelli; Ludovico Bacchiani;;;;;;;;;;;;;;https://www.verdazzo.com.br/jogo/19170617-taubate-x-palestra-italia-amistoso-1917/
24/06/1917; Amistoso;Floresta; A.A.das Palmeiras; Palestra Italia;0;0; Flosi; Grimaldi; Oscar; Bertolini; Picagli; Fabbi; Ministro; Caetano; Severino; Orlando; Martinelli; Ludovico Bacchiani;;;;;;;;;;;;;;https://www.verdazzo.com.br/jogo/19170624-a-a-das-palmeiras-x-palestra-italia-amistoso-1917/
29/06/1917; Campeonato Paulista;Floresta; Ypiranga; Palestra Italia;1;2; Flosi; Grimaldi; Bianco Gambini; Bertolini; Picagli; Fabbi; Ministro; Caetano; Heitor; Severino; Martinelli; Ludovico Bacchiani;;;;;;;;;;;;;;https://www.verdazzo.com.br/jogo/19170629-ypiranga-x-palestra-italia-campeonato-paulista-1917/
08/07/1917; Campeonato Paulista;Floresta; Palestra Italia; Santos;5;1; Flosi; Grimaldi; Bianco Gambini; Bertolini; Picagli; Fabbi; Ministro; Caetano; Heitor; Severino; Martinelli; Ludovico Bacchiani;;;;;;;;;;;;;;https://www.verdazzo.com.br/jogo/19170708-palestra-italia-x-santos-campeonato-paulista-1917/
15/07/1917; Campeonato Paulista;Floresta; Palestra Italia; S.C.Internacional (SP);4;3; Flosi; Grimaldi; Bianco Gambini; Bertolini; Picagli; Fabbi; Ministro; Caetano; Heitor; Severino; Martinelli; Ludovico Bacchiani;;;;;;;;;;;;;;https://www.verdazzo.com.br/jogo/19170715-palestra-italia-x-s-c-internacional-sp-campeonato-paulista-1917/
05/08/1917; Campeonato Paulista;Floresta; Corinthians; Palestra Italia;1;3; Flosi; Grimaldi; Bianco Gambini; Bertolini; Picagli; Fabbi; Ministro; Caetano; Heitor; Severino; Martinelli; Ludovico Bacchiani;;;;;;;;;;;;;;https://www.verdazzo.com.br/jogo/19170805-sccp-x-palestra-italia-campeonato-paulista-1917/
12/08/1917; Amistoso;Benedito Meirelles; Esportiva; Palestra Italia;1;4; Flosi; Grimaldi; Bianco Gambini; Bertolini; Picagli; Fabbi; Ministro; Caetano; Heitor; Severino; Martinelli; Ludovico Bacchiani;;;;;;;;;;;;;;https://www.verdazzo.com.br/jogo/19170812-esportiva-guaratingueta-x-palestra-italia-amistoso-1917/
26/08/1917; Campeonato Paulista;Palestra Italia; Palestra Italia; Paulistano;1;0; Flosi; Grimaldi; Bianco Gambini; Bertolini; Picagli; Fabbi; Caetano; Ado; Heitor; Severino; Martinelli; Ludovico Bacchiani;;;;;;;;;;;;;;https://www.verdazzo.com.br/jogo/19170826-palestra-italia-x-paulistano-campeonato-paulista-1917/
09/09/1917; Campeonato Paulista;Palestra Italia; Palestra Italia; A.A.São Bento;1;1; Flosi; Grimaldi; Bianco Gambini; Bertolini; Picagli; Fabbi; Caetano; Ministro; Heitor; Severino; Martinelli; Ludovico Bacchiani;;;;;;;;;;;;;;https://www.verdazzo.com.br/jogo/19170909-palestra-italia-x-a-a-sao-bento-campeonato-paulista-1917/
16/09/1917; Campeonato Paulista;Floresta; A.A.das Palmeiras; Palestra Italia;2;2; Flosi; Grimaldi; Bianco Gambini; Bertolini; Picagli; Fabbi; Caetano; Forte; Heitor; Severino; Martinelli; Ludovico Bacchiani;;;;;;;;;;;;;;https://www.verdazzo.com.br/jogo/19170916-a-a-das-palmeiras-x-palestra-italia-campeonato-paulista-1917/
